"死亡年週","肺炎及流感死亡人數","四周移動平均"
"201840",410,413.5
"201841",412,413.25
"201842",435,420.25
"201843",396,413.25
"201844",414,414.25
"201845",395,410
"201846",374,394.75
"201847",339,380.5
"201848",388,374
"201849",374,368.75
"201850",377,369.5
"201851",420,389.75
"201852",419,397.5
"201901",480,424
"201902",437,439
"201903",430,441.5
"201904",467,453.5
"201905",530,466
"201906",465,473
"201907",515,494.25
"201908",505,503.75
"201909",486,492.75
"201910",451,489.25
"201911",472,478.5
"201912",468,469.25
"201913",492,470.75
"201914",464,474
"201915",446,467.5
"201916",442,461
"201917",426,444.5
"201918",427,435.25
"201919",385,420
"201920",448,421.5
"201921",440,425
"201922",400,418.25
"201923",436,431
"201924",438,428.5
"201925",450,431
"201926",430,438.5
"201927",424,435.5
"201928",441,436.25
"201929",481,444
"201930",455,450.25
"201931",446,455.75
"201932",419,450.25
"201933",418,434.5
"201934",458,435.25
"201935",436,432.75
"201936",486,449.5
"201937",482,465.5
"201938",450,463.5
"201939",445,465.75
"201940",472,462.25
"201941",416,445.75
"201942",441,443.5
"201943",453,445.5
"201944",438,437
"201945",436,442
"201946",398,431.25
"201947",412,421
"201948",426,418
"201949",457,423.25
"201950",498,448.25
"201951",516,474.25
"201952",440,477.75
"202001",444,474.5
"202002",486,471.5
"202003",436,451.5
"202004",529,473.75
"202005",525,494
"202006",551,510.25
"202007",500,526.25
"202008",491,516.75
"202009",,
"202010",,
"202011",,
"202012",,
"202013",,
"202014",,
"202015",,
"202016",,
"202017",,
"202018",,
"202019",,
"202020",,
"202021",,
"202022",,
"202023",,
"202024",,
"202025",,
"202026",,
"202027",,
"202028",,
"202029",,
"202030",,
"202031",,
"202032",,
"202033",,
"202034",,
"202035",,
"202036",,
"202037",,
"202038",,
"202039",,